ALGMN,Diploma,SSC,Gender
1,97.92,77.2,Male
2,97.5,92.8,Male
3,97.43,94.4,Male
4,97.14,94.4,Male
5,97.07,77.8,Female
6,96.75,95.6,Female
7,96.75,92.8,Male
8,96.7,86,Male
9,96.57,95.8,Male
10,96.06,91.6,Male
11,95.81,96.8,Female
12,95.75,97.8,Male
13,95.68,95.2,Male
14,95.64,91.6,Male
15,95.53,96.8,Female
16,95.5,92.8,Male
17,95.44,93.8,Male
18,95.4,92,Male
19,95.38,94.2,Female
20,95.31,95.4,Female
21,95.2,82.6,Male
22,95.19,89.8,Male
23,95.13,96,Female
24,95.11,93.2,Male
25,95.04,88,Male
26,95,97.2,Female
27,95,95.2,Male
28,95,88,Female
29,95,87.6,Female
30,95,80.83,Male
31,94.88,93.4,Female
32,94.88,89.4,Male
33,94.88,89,Female
34,94.87,96.6,Male
35,94.81,93.2,Male
36,94.8,94.8,Male
37,94.75,93,Female
38,94.69,91.4,Female
39,94.69,88.8,Female
40,94.63,87.6,Female
41,94.57,89.8,Male
42,94.56,93.8,Male
43,94.56,91.6,Male
44,94.5,87.8,Female
45,94.48,95.4,Female
46,94.47,93.2,Female
47,94.44,95.8,Male
48,94.44,90,Female
49,94.43,93.8,Female
50,94.42,97.4,Female
51,94.4,92,Female
52,94.4,90,Male
53,94.38,91.33,Female
54,94.36,92,Female
55,94.31,96.2,Female
56,94.31,96.00                                               100.00,Female
57,94.31,92.8,Female
58,94.29,92.6,Female
59,94.25,93.6,Female
60,94.25,91.2,Female
61,94.24,94.8,Male
62,94.2,91.6,Male
63,94.19,94.2,Female
64,94.19,83.6,Male
65,94.13,91.4,Male
66,94.13,89.2,Male
67,94.13,89.2,Male
68,94.13,88.6,Female
69,94.13,87.09,Female
70,94.09,88.8,Female
71,94.06,91.6,Male
72,94,93.8,Female
73,94,93.4,Female
74,94,92.6,Female
75,94,92.6,Male
76,94,88,Male
77,94,76,Male
78,93.94,87.4,Male
79,93.94,87,Male
80,93.93,92,Male
81,93.9,94.2,Male
82,93.9,94,Male
83,93.88,94.2,Female
84,93.88,92.8,Male
85,93.88,92.2,Male
86,93.87,92.6,Male
87,93.81,96,Female
88,93.81,95,Male
89,93.81,84.4,Female
90,93.8,86.8,Male
91,93.76,94.6,Male
92,93.74,92.4,Female
93,93.7,68,Male
94,93.69,95.6,Male
95,93.69,92.8,Female
96,93.69,89.17,Female
97,93.63,91,female
98,93.63,89.8,Female
99,93.6,87.67,Male
100,93.59,92.6,Female
101,93.59,90,Female
102,93.59,88.2,Male
103,93.56,94.6,Male
104,93.56,93.4,Male
105,93.56,92.4,Female
106,93.56,91.8,Female
107,93.56,89,Male
108,93.54,90.4,Female
109,93.53,90.8,Male
110,93.5,93.6,Female
111,93.5,88.8,Female
112,93.5,82.8,Male
113,93.49,91,Male
114,93.48,87.6,Male
115,93.47,95,Male
116,93.45,99.6,Male
117,93.44,94.6,Female
118,93.44,90.2,Male
119,93.44,87,Male
120,93.43,94,
121,93.39,90.2,Female
122,93.38,93,Male
123,93.38,90.2,Male
124,93.35,94.2,Male
125,93.35,92.4,Male
126,93.33,90.4,Female
127,93.33,89.8,Female
128,93.31,94.6,Male
129,93.31,93.2,Female
130,93.31,92,Male
131,93.31,90,Female
132,93.31,87.09,Female
133,93.3,95.6,Male
134,93.3,84,Male
135,93.29,95.4,Female
136,93.29,84,Male
137,93.28,89,Male
138,93.27,94,Male
139,93.26,96.4,Female
140,93.25,93.4,Male
141,93.25,93.2,Female
142,93.25,90.2,Male
143,93.24,93.6,Female
144,93.2,95.4,Male
145,93.2,90.4,Male
146,93.19,89,Male
147,93.13,90.2,Male
148,93.13,87.82,Male
149,93.12,88.8,Female
150,93.1,87.8,Male
151,93.09,94.6,Female
152,93.09,93.2,Male
153,93.07,95.4,Male
154,93.07,94.6,Male
155,93.06,94.6,Male
156,93.06,94.4,Male
157,93.03,90.4,Female
158,93,94,Female
159,93,93.8,Female
160,93,92,Female
161,93,85.4,Female
162,93,73.6,Male
163,93,72.5,Male
164,92.97,86.2,Male
165,92.94,95.2,Male
166,92.94,94,Female
167,92.94,93.6,Female
168,92.94,89.8,Female
169,92.94,88.6,Female
170,92.93,96,Male
171,92.9,88.6,Female
172,92.88,97,Female
173,92.88,95.6,Female
174,92.88,94.6,Female
175,92.88,93,Male
176,92.88,92.4,Male
177,92.88,90.4,Male
178,92.88,83,Female
179,92.87,92.8,Female
180,92.85,91,Male
181,92.82,72.6,Female
182,92.81,94.2,Female
183,92.81,92.8,Female
184,92.81,89.8,Male
185,92.81,88.8,Male
186,92.8,94,Male
187,92.8,93.2,Male
188,92.8,90.8,Female
189,92.8,90,Male
190,92.79,93,Female
191,92.76,96.4,Female
192,92.76,96.4,Male
193,92.76,88.6,Female
194,92.75,91.8,Male
195,92.75,88.8,Male
196,92.75,88.2,Female
197,92.75,79,Male
198,92.74,93.2,Male
199,92.73,93.6,Female
200,92.73,92.2,Male
201,92.69,92.2,Female
202,92.67,92.4,Male
203,92.67,91,Male
204,92.65,92.4,Female
205,92.63,94,Female
206,92.63,91.6,Female
207,92.63,90.6,Female
208,92.63,85.82,Female
209,92.61,85.6,Male
210,92.59,92,Male
211,92.56,94,Male
212,92.56,91.8,Female
213,92.56,91.2,Male
214,92.56,89,Male
215,92.56,87.6,Male
216,92.55,93.6,Female
217,92.55,84.36,Male
218,92.54,87.6,Male
219,92.53,92,Male
220,92.53,92,Female
221,92.53,90,Male
222,92.53,87.4,Female
223,92.52,85.2,Female
224,92.5,95.2,Female
225,92.5,95,Female
226,92.5,94.6,Female
227,92.5,92.55,Male
228,92.5,87.4,Female
229,92.47,94,Female
230,92.47,93.4,Female
231,92.47,93,Male
232,92.47,88.6,Male
233,92.44,94,Female
234,92.44,93.82,Male
235,92.44,93.6,Female
236,92.44,93,Female
237,92.44,89.6,Male
238,92.4,94.8,Female
239,92.38,95.8,Female
240,92.38,94,Female
241,92.38,93.8,Female
242,92.38,93.2,Female
243,92.38,91.8,Female
244,92.38,90.6,Male
245,92.38,89.8,Male
246,92.38,85.4,Female
247,92.35,92.2,Female
248,92.35,90.6,Female
249,92.35,89.6,Male
250,92.35,84.2,Female
251,92.33,93,Male
252,92.31,90.8,Male
253,92.31,90.6,Female
254,92.3,96.4,Female
255,92.3,92.2,Female
256,92.29,97.2,Female
257,92.29,83.4,Female
258,92.26,85.33,Male
259,92.25,96,Male
260,92.25,94.6,Female
261,92.25,94.4,Male
262,92.25,93.6,Female
263,92.25,93.4,Male
264,92.25,93.2,Male
265,92.25,91.8,Female
266,92.24,93.4,Female
267,92.24,93.2,Female
