college,branch,YEAR,GOPEN,LOPEN,GOBC,LOBC,GSC,LSC,GST,LST,GVJDT,LVJDT,GNTB,LNTB,GNTC,LNTC,GNTD,LNTD,P,D
"Government College Of Engineering,Amravati",Civil Engineering[First Shift],2015,407,154,663,0,2247,2506,,0,4170,0,0,57426,3519,0,0,0,0,3766
"Government College Of Engineering,Amravati",Civil Engineering[First Shift],2016,129,548,421,809,303,0,2946,0,1561,0,0,0,0,0,0,0,5457,3731
"Government College Of Engineering,Amravati",Civil Engineering[First Shift],2017,176,120,248,2289,455,468,9858,0,2373,0,0,0,1729,0,2431,0,7709,6599
"Government College Of Engineering,Amravati",Civil Engineering[First Shift],2018,198,53,423,271,1884,0,12175,0,0,0,0,0,513,0,0,0,2547,32947
"Government College Of Engineering,Amravati",Computer Science and Engineering[First Shift],2015,4911,178,1142,991,1917,0,25985,0,0,0,0,0,0,0,6825,0,0,2798
"Government College Of Engineering,Amravati",Computer Science and Engineering[First Shift],2016,961,290,1696,1117,1985,3763,14239,0,0,0,0,0,8515,0,0,0,0,7361
"Government College Of Engineering,Amravati",Computer Science and Engineering[First Shift],2017,880,342,1804,3217,8666,2909,16579,0,0,0,0,0,0,0,0,0,0,782
"Government College Of Engineering,Amravati",Computer Science and Engineering[First Shift],2018,2228,1322,2786,2306,3921,0,6626,0,0,0,6701,0,0,0,0,0,5635,0
"Government College Of Engineering,Amravati",Information Technology[First Shift],2015,5152,54145,3324,3116,3654,3795,46693,55974,6522,0,0,0,6231,0,0,0,0,0
"Government College Of Engineering,Amravati",Information Technology[First Shift],2016,3793,2198,4913,3981,5823,0,17699,9688,9152,0,11269,0,0,10091,0,0,0,20760
"Government College Of Engineering,Amravati",Information Technology[First Shift],2017,1968,1138,3173,2612,3122,3061,21697,0,0,0,0,0,23638,17270,0,0,0,0
"Government College Of Engineering,Amravati",Information Technology[First Shift],2018,3472,1527,4391,0,13433,0,33815,0,0,0,0,0,0,6836,0,0,0,0
"Government College Of Engineering,Amravati",Electronics and Telecommunication Engg[First Shift],2015,679,8789,722,823,2697,0,14145,0,0,0,8080,0,0,0,0,0,0,0
"Government College Of Engineering,Amravati",Electronics and Telecommunication Engg[First Shift],2016,1260,72,621,438,2882,2764,7309,0,0,0,0,0,0,0,0,0,5315,5819
"Government College Of Engineering,Amravati",Electronics and Telecommunication Engg[First Shift],2017,640,345,735,935,3240,0,8486,0,9383,0,0,0,7606,0,0,0,0,6666
"Government College Of Engineering,Amravati",Electronics and Telecommunication Engg[First Shift],2018,817,645,883,0,3023,1074,0,0,0,0,0,0,947,0,0,0,0,23628
"Government College Of Engineering,Amravati",Electrical Engineering[First Shift],2015,165,97,201,569,15330,1043,14490,0,0,0,0,0,902,0,0,0,0,0
"Government College Of Engineering,Amravati",Electrical Engineering[First Shift],2016,813,112,1180,849,2944,2108,17534,0,0,0,9754,0,0,0,5770,0,0,0
"Government College Of Engineering,Amravati",Electrical Engineering[First Shift],2017,165,97,201,569,15330,1043,14490,0,0,0,0,0,902,0,0,0,0,0
"Government College Of Engineering,Amravati",Electrical Engineering[First Shift],2018,648,112,1180,849,2944,2108,17534,0,0,0,9754,0,0,0,5770,0,0,0
"Government College Of Engineering,Amravati",Mechanical Engineering[First Shift],2015,200,362,2428,1165,1137,0,8558,0,0,8692,0,0,1668,0,0,0,0,0
"Government College Of Engineering,Amravati",Mechanical Engineering[First Shift],2016,383,219,407,607,1364,0,8314,0,0,0,2414,0,1702,0,0,0,0,2126
