ALGMN,Gender,Diploma,SSC
1,Male,97.8,77.4
2,Female,97.29,79.27
3,Male,96.55,94.55
4,Male,96.54,67.82
5,Male,96.15,81.8
6,Female,95.75,96.55
7,Male,95.69,91.45
8,Male,95.65,91.45
9,Female,95.61,92
10,Male,95.6,92
11,Male,95.6,92
12,Male,95.6,88
13,Male,95.6,85.27
14,Female,95.56,92.18
15,Male,95.56,91.64
16,Male,95.47,91.67
17,Female,95.46,94.18
18,Female,95.38,89.09
19,Female,95.35,94.55
20,Male,95.29,95.09
21,Male,95.13,94
22,Male,95.13,92.73
23,Female,95,91
24,Male,94.94,94.36
25,Male,94.94,90.73
26,Male,94.9,90
27,Female,94.88,98.73
28,Female,94.87,88.18
29,Male,94.81,87.45
30,Female,94.78,93.82
31,Male,94.75,96.73
32,Male,94.71,95.45
33,Male,94.67,87.8
34,Male,94.63,96
35,Male,94.63,95
36,Female,94.6,92.18
37,Male,94.6,92
38,Female,94.6,89
39,Female,94.48,94.18
40,Female,94.45,94.18
41,Male,94.4,91.6
42,Female,94.38,92.73
43,Male,94.38,92
44,Female,94.38,92
45,Female,94.38,87.27
46,Male,94.26,90.55
47,Male,94.25,89.27
48,Male,94.25,75.8
49,Female,94.24,91.8
50,Male,94.24,89.6
51,Male,94.24,84.2
52,Male,94.23,89.27
53,Male,94.19,91.82
54,Male,94.19,91.09
55,Male,94.18,97.64
60,Female,94,88.36
61,Male,94,70.33
62,Female,93.94,96.91
63,Male,93.94,92.73
64,Female,93.94,91.82
65,Male,93.9,92.91
66,Male,93.9,92.55
67,Male,93.88,91.64
68,Male,93.82,92.36
69,Male,93.82,91.4
70,Male,93.81,96.73
71,Male,93.81,92.73
72,Female,93.81,91.82
73,Female,93.8,91.64
74,Male,93.8,90.36
75,Female,93.76,89
76,Male,93.75,91.27
77,Female,93.71,95.82
78,Male,93.7,93.45
79,Male,93.69,98
80,Female,93.69,95.27
81,Male,93.69,95.27
82,Female,93.69,92.55
83,Male,93.69,89.09
84,Female,93.69,88
85,Female,93.64,95.6
86,Male,93.63,88.91
87,Female,93.6,86.55
88,Female,93.56,92.91
89,Female,93.5,91.82
90,Female,93.44,94.36
91,Male,93.44,89.82
92,Male,93.44,87.6
93,Female,93.4,91.82
94,Female,93.35,94.55
95,Female,93.35,92.55
96,Female,93.35,88
97,Male,93.33,71.33
98,Male,93.31,93.82
99,Male,93.31,91.09
100,Male,93.31,90.8
101,Male,93.31,87.27
102,Male,93.31,86
103,Female,93.3,84
104,Male,93.3,83.45
105,Female,93.29,93.45
106,Male,93.29,79.6
107,Female,93.27,93.82
108,Female,93.27,91.8
109,Female,93.26,93.8
110,Male,93.25,95.27
111,Female,93.25,89.4
112,Female,93.24,95.09
113,Male,93.22,92.55
114,Male,93.21,91.2
119,Female,93.12,82.8
120,Male,93.1,85.45
121,Male,93.09,89.38
122,Male,93.06,95.6
123,Female,93.06,92.8
124,Female,93.06,92
125,Male,93.03,91.82
126,Female,93,92.2
127,Female,93,92.18
128,Male,93,88.55
129,Male,93,88.2
130,Male,92.96,95.27
131,Male,92.94,93.09
132,Male,92.94,90.18
133,Female,92.88,95.82
134,Male,92.88,94.73
135,Male,92.88,91.82
136,Male,92.88,82.18
137,Male,92.86,91.64
138,Male,92.81,94.18
139,Female,92.81,93.09
140,Female,92.81,92
141,Male,92.81,90.36
142,Male,92.81,88.8
143,Male,92.8,90
144,Female,92.79,95.64
145,Female,92.76,86.73
146,Female,92.75,93.82
147,Female,92.75,92
148,Male,92.75,91.82
149,Male,92.75,91.45
150,Male,92.73,89.27
151,Female,92.72,87.27
152,Male,92.71,92
153,Male,92.71,76.71
154,Male,92.7,90.73
155,Male,92.7,89.2
156,Male,92.69,96.18
157,Male,92.69,91.45
158,Male,92.69,88.91
159,Male,92.69,88.36
160,Female,92.65,94
161,Male,92.65,89.45
162,Female,92.65,87.2
163,Female,92.64,85.45
164,Male,92.63,90.73
165,Female,92.63,89.6
166,Male,92.63,88
167,Male,92.61,73.09
168,Female,92.6,90.73
169,Male,92.57,95.6
170,Male,92.56,94.73
171,Female,92.56,93.82
172,Male,92.56,92
173,Male,92.55,84.36
178,Male,92.47,91.27
179,Female,92.47,89.2
180,Female,92.47,88.91
181,Male,92.45,97.27
182,Female,92.44,94.6
183,Male,92.44,93.82
184,Male,92.44,93.09
185,Male,92.44,88.73
186,Female,92.42,91.82
187,Female,92.42,91.82
188,Male,92.42,81.27
189,Female,92.41,93.45
190,Female,92.41,92.55
191,Female,92.38,95.82
