ALGMN,Diploma,SSC
1,97.80,77.40
2,97.29,79.27
3,96.55,94.55
4,96.54,67.82
5,96.15,81.80
6,95.75,96.55
7,95.69,91.45
8,95.65,91.45
9,95.61,92.00
10,95.60,92.00
11,95.60,92.00
12,95.60,88.00
13,95.60,85.27
14,95.56,92.18
15,95.56,91.64
16,95.47,91.67
17,95.46,94.18
18,95.38,89.09
19,95.35,94.55
20,95.29,95.09
21,95.13,94.00
22,95.13,92.73
23,95.00,91.00
24,94.94,94.36
25,94.94,90.73
26,94.90,90.00
27,94.88,98.73
28,94.87,88.18
29,94.81,87.45
30,94.78,93.82
31,94.75,96.73
32,94.71,95.45
33,94.67,87.80
34,94.63,96.00
35,94.63,95.00
36,94.60,92.18
37,94.60,92.00
38,94.60,89.00
39,94.48,94.18
40,94.45,94.18
41,94.40,91.60
42,94.38,92.73
43,94.38,92.00
44,94.38,92.00
45,94.38,87.27
46,94.26,90.55
47,94.25,89.27
48,94.25,75.80
49,94.24,91.80
50,94.24,89.60
51,94.24,84.20
52,94.23,89.27
53,94.19,91.82
54,94.19,91.09
55,94.18,97.64
60,94.00,88.36
61,94.00,70.33
62,93.94,96.91
63,93.94,92.73
64,93.94,91.82
65,93.90,92.91
66,93.90,92.55
67,93.88,91.64
68,93.82,92.36
69,93.82,91.40
70,93.81,96.73
71,93.81,92.73
72,93.81,91.82
73,93.80,91.64
74,93.80,90.36
75,93.76,89.00
76,93.75,91.27
77,93.71,95.82
78,93.70,93.45
79,93.69,98.00
80,93.69,95.27
81,93.69,95.27
82,93.69,92.55
83,93.69,89.09
84,93.69,88.00
85,93.64,95.60
86,93.63,88.91
87,93.60,86.55
88,93.56,92.91
89,93.50,91.82
90,93.44,94.36
91,93.44,89.82
92,93.44,87.60
93,93.40,91.82
94,93.35,94.55
95,93.35,92.55
96,93.35,88.00
97,93.33,71.33
98,93.31,93.82
99,93.31,91.09
100,93.31,90.80
101,93.31,87.27
102,93.31,86.00
103,93.30,84.00
104,93.30,83.45
105,93.29,93.45
106,93.29,79.60
107,93.27,93.82
108,93.27,91.80
109,93.26,93.80
110,93.25,95.27
111,93.25,89.40
112,93.24,95.09
113,93.22,92.55
114,93.21,91.20
119,93.12,82.80
120,93.10,85.45
121,93.09,89.38
122,93.06,95.60
123,93.06,92.80
124,93.06,92.00
125,93.03,91.82
126,93.00,92.20
127,93.00,92.18
128,93.00,88.55
129,93.00,88.20
130,92.96,95.27
131,92.94,93.09
132,92.94,90.18
133,92.88,95.82
134,92.88,94.73
135,92.88,91.82
136,92.88,82.18
137,92.86,91.64
138,92.81,94.18
139,92.81,93.09
140,92.81,92.00
141,92.81,90.36
142,92.81,88.80
143,92.80,90.00
144,92.79,95.64
145,92.76,86.73
146,92.75,93.82
147,92.75,92.00
148,92.75,91.82
149,92.75,91.45
150,92.73,89.27
151,92.72,87.27
152,92.71,92.00
153,92.71,76.71
154,92.70,90.73
155,92.70,89.20
156,92.69,96.18
157,92.69,91.45
158,92.69,88.91
159,92.69,88.36
160,92.65,94.00
161,92.65,89.45
162,92.65,87.20
163,92.64,85.45
164,92.63,90.73
165,92.63,89.60
166,92.63,88.00
167,92.61,73.09
168,92.60,90.73
169,92.57,95.60
170,92.56,94.73
171,92.56,93.82
172,92.56,92.00
173,92.55,84.36
178,92.47,91.27
179,92.47,89.20
180,92.47,88.91
181,92.45,97.27
182,92.44,94.60
183,92.44,93.82
184,92.44,93.09
185,92.44,88.73
186,92.42,91.82
187,92.42,91.82
188,92.42,81.27
189,92.41,93.45
190,92.41,92.55
191,92.38,95.82
192,92.38,93.00
193,92.38,89.27
194,92.38,81.82
195,92.36,94.18
196,92.36,90.40
197,92.35,79.40
198,92.31,94.00
199,92.30,95.45
200,92.30,92.55
201,92.30,90.55
202,92.30,90.18
203,92.30,88.00
204,92.30,83.64
205,92.30,83.20
206,92.30,78.18
207,92.29,96.20
208,92.26,78.91
209,92.25,88.18
210,92.24,90.55
211,92.24,90.40
212,92.24,84.73
213,92.21,95.00
214,92.20,94.55
215,92.20,88.91
216,92.19,94.55
217,92.19,93.64
218,92.19,91.64
219,92.19,86.40
220,92.18,96.73
221,92.18,94.18
222,92.18,94.00
223,92.18,83.82
224,92.14,96.18
225,92.13,91.27
226,92.13,90.40
227,92.13,90.36
228,92.13,88.55
229,92.12,78.55
230,92.10,89.64
231,92.08,91.09
232,92.06,94.55
237,92.06,89.82
238,92.06,86.00
239,92.06,83.20
240,92.06,81.64
241,92.00,92.36
242,92.00,90.80
243,92.00,89.82
244,92.00,89.82
245,92.00,89.45
246,92.00,88.55
247,92.00,78.55
248,91.94,98.18
249,91.94,91.09
250,91.94,90.20
251,91.94,88.91
252,91.94,88.00
253,91.94,76.20
254,91.93,74.00
255,91.91,93.09
256,91.88,94.36
257,91.88,92.18
258,91.88,91.09
259,91.88,90.91
260,91.88,89.27
261,91.88,88.73
262,91.84,88.73
263,91.82,95.27
264,91.82,92.80
265,91.82,85.80
266,91.82,85.67
267,91.81,95.82
268,91.81,91.45
269,91.81,88.91
270,91.81,88.18
271,91.81,88.00
272,91.81,79.60
273,91.80,93.45
274,91.80,93.09
275,91.78,65.80
276,91.76,93.45
277,91.76,93.09
278,91.76,89.82
279,91.76,88.80
280,91.76,87.60
281,91.76,86.73
282,91.76,86.73
283,91.76,84.00
284,91.76,81.09
285,91.76,76.20
286,91.76,72.60
287,91.76,72.20
288,91.75,91.45
289,91.75,90.18
290,91.75,87.82
291,91.75,86.91
296,91.71,86.73
297,91.71,63.00
298,91.70,93.82
299,91.70,91.27
300,91.70,90.00
301,91.70,89.40
302,91.70,88.55
303,91.70,74.20
304,91.69,90.55
305,91.69,90.36
306,91.69,89.45
307,91.65,96.36
308,91.65,91.27
309,91.65,89.27
310,91.65,87.45
311,91.65,86.91
312,91.65,86.73
313,91.64,94.00
314,91.64,92.36
315,91.64,89.82
316,91.64,74.40
317,91.63,94.18
318,91.63,94.00
319,91.63,92.55
320,91.63,91.27
321,91.63,90.91
322,91.63,90.40
323,91.60,91.09
324,91.60,90.36
325,91.59,94.00
326,91.59,92.91
327,91.59,89.64
328,91.58,94.73
329,91.58,94.36
330,91.58,84.20
331,91.56,94.18
332,91.56,89.80
333,91.53,93.60
334,91.53,93.20
335,91.52,94.73
336,91.52,93.09
337,91.52,91.27
338,91.50,94.91
339,91.50,93.09
340,91.50,91.45
341,91.50,90.73
342,91.50,86.36
343,91.50,85.27
344,91.48,90.91
345,91.47,94.60
346,91.47,88.18
347,91.47,82.55
348,91.47,79.27
349,91.46,90.18
350,91.45,87.82
355,91.41,95.64
356,91.41,95.64
357,91.41,91.45
358,91.41,90.20
359,91.41,86.18
360,91.40,95.09
361,91.40,93.09
362,91.39,96.20
363,91.39,95.09
364,91.38,96.55
365,91.38,94.73
366,91.38,91.45
367,91.38,90.36
368,91.38,90.18
369,91.38,88.91
370,91.38,88.00
371,91.38,82.18
372,91.37,94.60
373,91.37,90.20
374,91.35,91.09
375,91.35,90.73
376,91.35,90.18
377,91.33,92.18
378,91.33,91.82
379,91.33,77.40
380,91.30,89.27
381,91.29,91.09
382,91.29,90.18
383,91.29,89.64
384,91.29,76.20
385,91.27,91.64
