college,branch,YEAR,GOPEN,LOPEN,GOBC,LOBC,GSC,LSC,GST,LST,GVJDT,LVJDT,GNTB,LNTB,GNTC,LNTC,GNTD,LNTD,P,D
"Government College Of Engineering,Amravati",Civil Engineering[First Shift],2015,90.13,91.8,89.06,0,85.69,85.33,0,0,83.43,0,0,61.46,84.07,0,0,0,0,83.82
"Government College Of Engineering,Amravati",Civil Engineering[First Shift],2016,93.01,90.56,91.13,89.69,91.7,0,86.25,0,88.13,0,0,0,0,0,0,0,83.94,85.45
"Government College Of Engineering,Amravati",Civil Engineering[First Shift],2017,92.88,93.44,92.38,92.5,91.31,91.25,80.73,0,87.13,0,0,0,92.94,0,86.03,0,82.18,82.94
"Government College Of Engineering,Amravati",Civil Engineering[First Shift],2018,93.19,94.79,91.68,92.63,87.88,0,78.71,0,0,0,0,0,91.33,0,0,0,86.91,68.48
"Government College Of Engineering,Amravati",Computer Science and Engineering[First Shift],2015,4911,178,1142,991,1917,0,25985,0,0,0,0,0,0,0,6825,0,0,2798
"Government College Of Engineering,Amravati",Computer Science and Engineering[First Shift],2016,82.76,91.5,87.75,88.13,86.19,0,72.06,0,0,0,0,0,0,0,81.24,0,0,89.94
"Government College Of Engineering,Amravati",Computer Science and Engineering[First Shift],2017,89.31,91.75,87.88,88.94,87.44,85.41,78.94,0,0,0,0,0,81.94,0,0,0,0,82.63
"Government College Of Engineering,Amravati",Computer Science and Engineering[First Shift],2018,87.38,89,86.59,87.25,85.25,0,82.75,0,0,0,82.69,0,0,0,0,0,83.63,0
"Government College Of Engineering,Amravati",Information Technology[First Shift],2015,86.9,54145,3324,3116,3654,3795,46693,55974,6522,0,0,0,6231,0,0,0,57532,0
"Government College Of Engineering,Amravati",Information Technology[First Shift],2016,82.56,82.33,84.31,84.53,83.94,83.81,65.12,62,81.44,0,0,0,81.67,0,0,0,61.42,0
"Government College Of Engineering,Amravati",Information Technology[First Shift],2015,85.35,87.13,84.38,85.19,83.69,0,77.47,81.24,81.56,0,80.38,0,0,81,0,0,0,76.19
"Government College Of Engineering,Amravati",Information Technology[First Shift],2018,92.88,93.44,92.38,92.5,91.31,91.25,80.73,0,87.13,0,0,0,92.94,0,86.03,0,82.18,82.94
"Government College Of Engineering,Amravati",Electronics and Telecommunication Engg[First Shift],2015,91.67,92.47,91.33,89.47,76.35,88,76.76,0,0,0,0,0,88.4,0,0,0,69.76,83.07
"Government College Of Engineering,Amravati",Electronics and Telecommunication Engg[First Shift],2016,91.67,92.47,91.33,89.47,76.35,88,76.76,0,0,0,0,0,88.4,0,0,0,69.76,83.07
"Government College Of Engineering,Amravati",Electronics and Telecommunication Engg[First Shift],2017,87.75,89.31,86.13,86.81,86.19,86.25,75,0,0,0,0,0,74,76.81,0,0,0,0
"Government College Of Engineering,Amravati",Electronics and Telecommunication Engg[First Shift],2018,89,94.25,88.19,0,84.81,0,0,82.18,0,0,0,0,0,0,82.47,0,0,68.63
"Government College Of Engineering,Amravati",Electrical Engineering[First Shift],2015,89,79.94,88.88,88.6,85.09,0,76.93,0,0,0,80.41,0,0,0,0,60.55, ,85.8
"Government College Of Engineering,Amravati",Electrical Engineering[First Shift],2016,88.67,93.81,90.3,91.06,86.31,86.47,82.67,0,0,0,0,0,0,0,0,0,84.06,83.69
"Government College Of Engineering,Amravati",Electrical Engineering[First Shift],2017,84.94,91.81,88,86.06,81.5,86.44,77.13,0,0,0,0,0,0,0,0,0,0,90.2
"Government College Of Engineering,Amravati",Electrical Engineering[First Shift],2018,90.25,90.85,90.06,0,86.3,89.56,0,0,0,0,0,0,89.88,0,0,0,0,72.55
"Government College Of Engineering,Amravati",Mechanical Engineering[First Shift],2015,91.33,90.4,85.41,87.69,87.75,0,80.06,0,0,80,0,0,86.65,0,0,0,82.71,85.87
"Government College Of Engineering,Amravati",Mechanical Engineering[First Shift],2016,91.29,92.19,91.19,90.38,88.47,0,82.06,0,0,0,86.88,0,87.88,0,0,0,0,87.24
"Government College Of Engineering,Amravati",Mechanical Engineering[First Shift],2017,90.63,91.81,90.31,89.76,86.06,0,81.63,0,81.03,0,0,0,82.24,0,0,0,0,82.88
"Government College Of Engineering,Amravati",Mechanical Engineering[First Shift],2018,92.88,89.24,92.56,88.44,91.06,82.65,0,0,0,0,0,0,89.35,0,0,0,75.41,87.81
"Government College of Engineering, Aurangabad ",Civil Engineering[First Shift],2015,89.64,90.55,87.03,89.33,86.5,0,83.27,0,0,0,82.42,0,0,83.52,0,0,76.13,84.19
"Government College of Engineering, Aurangabad ",Civil Engineering[First Shift],2016,91.19,91.09,90.8,90.69,87.03,88.67,84.97,0,0,0,0,0,90.48,0,0,0,0,84.19
"Government College of Engineering, Aurangabad ",Civil Engineering[First Shift],2017,92.25,92.44,91.88,92.19,91.21,87.76,78.11,0,0,0,0,0,0,0,0,0,84.18,0
"Government College of Engineering, Aurangabad ",Civil Engineering[First Shift],2018,93.19,94.79,91.68,92.63,87.88,0,78.71,0,0,0,0,0,91.33,0,0,0,86.91,68.48
"Government College of Engineering, Aurangabad ",Computer Science and Engineering[First Shift],2015,89.24,91.59,88.88,88.94,87.76,0,0,76.13,0,0,83.63,0,84.47,0,0,0,81.24,83.06
"Government College of Engineering, Aurangabad ",Computer Science and Engineering[First Shift],2016,88.94,90.65,87.24,0,84.13,85.88,0,0,0,0,83.44,0,0,85.5,0,0,0,0
"Government College of Engineering, Aurangabad ",Computer Science and Engineering[First Shift],2017,90.29,90.65,87.71,89,87.53,84.81,74,0,0,0,0,0,85.12,0,0,0,0,75.88
"Government College of Engineering, Aurangabad ",Computer Science and Engineering[First Shift],2018,90.24,92.65,87.75,88.65,84.71,87,70.76,0,0,0,0,0,0,0,82.35,0,71.94,76.63
"Government College of Engineering, Aurangabad ",Information Technology[First Shift],2015,86.29,87.88,86.06,86.19,84.31,85.53,79.06,0,0,0,0,0,0,0,0,0,0,81.76
"Government College of Engineering, Aurangabad ",Information Technology[First Shift],2016,87,87.71,86.13,86.38,83.94,82.38,74.38,0,0,0,0,0,82.12,0,0,0,70.13,77.38
"Government College of Engineering, Aurangabad ",Information Technology[First Shift],2017,88.41,89.82,86.12,87.65,79,79.69,73.44,0,0,0,0,0,81.38,0,0,0,0,81.47
"Government College of Engineering, Aurangabad ",Information Technology[First Shift],2018,87.75,89.88,86.94,87.47,83.29,0,70.76,70.59,0,0,0,0,0,0,0,0,0,58.41
"Government College of Engineering, Aurangabad ",Electrical Engineering[First Shift],2015,89.81,90.47,88.94,89.06,88.12,0,78.59,0,0,0,84.55,0,0,0,0,0,81.24,83.5
"Government College of Engineering, Aurangabad ",Electrical Engineering[First Shift],2016,90.18,91.24,89.88,90,87.65,0,73.88,82.19,0,0,86.61,0,0,89.18,85.94,0,89.59,87.12
"Government College of Engineering, Aurangabad ",Electrical Engineering[First Shift],2017,91.29,91.35,91.21,0,87.35,87.15,0,78,0,0,0,0,0,0,87.03,0,0,84.94
"Government College of Engineering, Aurangabad ",Electrical Engineering[First Shift],2018,91.58,93,91.15,91.53,89.52,0,83.06,0,0,0,0,81.59,89.88,0,0,0,78.67,82.61
"Government College of Engineering, Aurangabad ",Electronics and Telecommunication Engg[First Shift],2015,81.63,92.69,89.53,90.75,88.82,0,0,78.47,0,0,84.25,0,0,0,0,0,0,0
"Government College of Engineering, Aurangabad ",Electronics and Telecommunication Engg[First Shift],2016,89.59,90.71,89.18,89.29,87.06,0,81.47,0,84.41,0,0,0,0,85.29,0,0,0,84.82
"Government College of Engineering, Aurangabad ",Electronics and Telecommunication Engg[First Shift],2017,87.75,89.31,86.13,86.81,86.19,86.25,75,0,0,0,0,0,74,76.81,0,0,0,0
"Government College of Engineering, Aurangabad ",Electronics and Telecommunication Engg[First Shift],2018,88.59,89.12,84.82,87.88,83.81,84.18,74.41,60,0,0,0,0,86,0,0,0,88.65,75.59
"Government College of Engineering, Aurangabad ",Mechanical Engineering[First Shift],2015,90.53,86.24,90.06,86.12,87.71,82.12,78.53,0,0,0,0,0,0,0,0,0,0,0
"Government College of Engineering, Aurangabad ",Mechanical Engineering[First Shift],2016,91.75,90.24,91.5,88.94,88.47,0,83.44,0,0,0,0,81.06,0,0,0,0,0,0
"Government College of Engineering, Aurangabad ",Mechanical Engineering[First Shift],2018,93.38,90,93.31,89.53,90.38,85.94,0,73.71,0,0,91.18,0,0,0,0,0,72,0
"Government College of Engineering, Aurangabad ",Mechanical Engineering[First Shift],2017,92.13,89.24,91.88,86.12,90.41,0,0,76.54,0,0,91,0,87.82,0,0,0,0,0
"Government College of Engineering, Jalgaon",Civil Engineering[First Shift],2015,1581,677,1487,0,2439,15026,17585,0,0,0,0,0,0,0,3229,0,0,4873
"Government College of Engineering, Jalgaon",Civil Engineering[First Shift],2015,86.79,89,87,0,85.41,76.48,75.31,0,0,0,0,0,0,0,84.42,0,0,82.79
"Government College of Engineering, Jalgaon",Civil Engineering[First Shift],2016,89.58,90.55,88.91,87.21,86.3,84.94,80.97,0,86.24,0,0,0,0,85.64,0,0,78.42,82.06
"Government College of Engineering, Jalgaon",Civil Engineering[First Shift],2017,90,91.09,89.45,88.86,80.03,0,0,79.21,0,0,85.64,0,88.79,,0,0,78,88.97
"Government College of Engineering, Jalgaon",Computer Engineering[First Shift],2015,85.03,86.44,82.63,84.27,79.31,82.81,70.59,0,78.31,0,0,0,0,81,0,0,81.19,83.88
"Government College of Engineering, Jalgaon",Computer Engineering[First Shift],2016,84.94,88.06,84.63,0,81.75,81.31,0,0,84.63,0,0,0,0,79.56,0,0,71.38,76.31
"Government College of Engineering, Jalgaon",Computer Engineering[First Shift],2017,84.69,86.31,83.56,84.13,76.24,0,72.12,0,0,72.69,0,0,0,0,0,0,0,77.18
"Government College of Engineering, Jalgaon",Computer Engineering[First Shift],2018,86.81,88.25,86.06,86.25,83.63,0,73.19,0,0,0,0,0,0,0,0,0,68.25,70
