college,branch,YEAR,CAPSEATS,GOPEN,LOPEN,GOBC,LOBC,GSC,LSC,GST,LST,GVJDT,LVJDT,GNTB,LNTB,GNTC,LNTC,GNTD,LNTD,P,D
"Government College Of Engineering,Amravati",Civil Engineering[First Shift],2015,12,4,1,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
"Government College Of Engineering,Amravati",Civil Engineering[First Shift],2016,12,5,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
"Government College Of Engineering,Amravati",Civil Engineering[First Shift],2017,12,3,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1
"Government College Of Engineering,Amravati",Civil Engineering[First Shift],2018,12,3,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1
"Government College Of Engineering,Amravati",Computer Science and Engineering[First Shift],2015,12,4,1,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,1
"Government College Of Engineering,Amravati",Computer Science and Engineering[First Shift],2016,12,4,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
"Government College Of Engineering,Amravati",Computer Science and Engineering[First Shift],2017,9,3,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Government College Of Engineering,Amravati",Computer Science and Engineering[First Shift],2018,12,3,2,1,1,2,0,1,0,0,0,1,0,0,0,0,0,1,0
"Government College Of Engineering,Amravati",Information Technology[First Shift],2015,23,8,4,3,1,2,1,1,1,1,0,0,0,1,0,0,0,0,0
"Government College Of Engineering,Amravati",Information Technology[First Shift],2016,23,7,4,3,1,2,0,1,1,1,0,1,0,0,1,0,0,0,1
"Government College Of Engineering,Amravati",Information Technology[First Shift],2017,11,4,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
"Government College Of Engineering,Amravati",Information Technology[First Shift],2018,12,5,1,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0
"Government College Of Engineering,Amravati",Electronics and Telecommunication Engg[First Shift],2015,15,4,2,2,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Government College Of Engineering,Amravati",Electronics and Telecommunication Engg[First Shift],2016,20,7,3,3,1,2,1,1,0,0,0,1,0,0,0,1,0,0,0
"Government College Of Engineering,Amravati",Electronics and Telecommunication Engg[First Shift],2017,12,3,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1
"Government College Of Engineering,Amravati",Electronics and Telecommunication Engg[First Shift],2018,12,4,1,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
"Government College Of Engineering,Amravati",Electrical Engineering[First Shift],2015,12,4,1,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,1
"Government College Of Engineering,Amravati",Electrical Engineering[First Shift],2016,12,3,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
"Government College Of Engineering,Amravati",Electrical Engineering[First Shift],2017,12,4,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1
"Government College Of Engineering,Amravati",Electrical Engineering[First Shift],2018,12,3,2,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
"Government College Of Engineering,Amravati",Mechanical Engineering[First Shift],2015,12,3,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1
"Government College Of Engineering,Amravati",Mechanical Engineering[First Shift],2016,12,4,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
"Government College Of Engineering,Amravati",Mechanical Engineering[First Shift],2017,12,3,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0
"Government College Of Engineering,Amravati",Mechanical Engineering[First Shift],2018,12,3,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1
"Government College of Engineering, Aurangabad ",Civil Engineering[First Shift],2015,12,3,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1
"Government College of Engineering, Aurangabad ",Civil Engineering[First Shift],2016,14,4,2,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
"Government College of Engineering, Aurangabad ",Civil Engineering[First Shift],2017,11,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
"Government College of Engineering, Aurangabad ",Civil Engineering[First Shift],2018,13,4,1,2,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
"Government College of Engineering, Aurangabad ",Computer Science and Engineering[First Shift],2015,12,3,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1
"Government College of Engineering, Aurangabad ",Computer Science and Engineering[First Shift],2016,12,4,2,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
"Government College of Engineering, Aurangabad ",Computer Science and Engineering[First Shift],2017,12,3,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
"Government College of Engineering, Aurangabad ",Computer Science and Engineering[First Shift],2018,13,3,1,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1
"Government College of Engineering, Aurangabad ",Information Technology[First Shift],2015,12,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"Government College of Engineering, Aurangabad ",Information Technology[First Shift],2016,13,3,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Government College of Engineering, Aurangabad ",Information Technology[First Shift],2017,12,3,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
"Government College of Engineering, Aurangabad ",Information Technology[First Shift],2018,15,5,2,2,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0
"Government College of Engineering, Aurangabad ",Electrical Engineering[First Shift],2015,12,3,1,2,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1
"Government College of Engineering, Aurangabad ",Electrical Engineering[First Shift],2016,14,4,2,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,1
"Government College of Engineering, Aurangabad ",Electrical Engineering[First Shift],2017,12,3,1,2,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1
"Government College of Engineering, Aurangabad ",Electrical Engineering[First Shift],2018,21,5,3,2,2,2,1,1,1,1,0,0,0,1,0,0,0,1,1
"Government College of Engineering, Aurangabad ",Electronics and Telecommunication Engg[First Shift],2015,12,3,1,2,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
"Government College of Engineering, Aurangabad ",Electronics and Telecommunication Engg[First Shift],2016,19,5,2,2,1,2,0,1,1,0,0,1,0,0,1,1,0,1,1
"Government College of Engineering, Aurangabad ",Electronics and Telecommunication Engg[First Shift],2017,12,3,2,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
"Government College of Engineering, Aurangabad ",Electronics and Telecommunication Engg[First Shift],2018,13,3,1,2,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1
"Government College of Engineering, Aurangabad ",Mechanical Engineering[First Shift],2015,12,4,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Government College of Engineering, Aurangabad ",Mechanical Engineering[First Shift],2016,12,5,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"Government College of Engineering, Aurangabad ",Mechanical Engineering[First Shift],2017,11,4,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0
"Government College of Engineering, Aurangabad ",Mechanical Engineering[First Shift],2018,14,4,2,2,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0
"Government College of Engineering, Jalgaon",Civil Engineering[First Shift],2015,12,4,1,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1
"Government College of Engineering, Jalgaon",Civil Engineering[First Shift],2016,19,6,2,2,1,2,1,1,0,1,0,0,0,0,1,0,0,1,1
"Government College of Engineering, Jalgaon",Civil Engineering[First Shift],2017,10,2,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1
"Government College of Engineering, Jalgaon",Civil Engineering[First Shift],2018,12,2,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
"Government College of Engineering, Jalgaon",Computer Engineering[First Shift],2015,19,5,3,2,1,2,1,1,0,1,0,0,0,0,1,0,0,1,1
"Government College of Engineering, Jalgaon",Computer Engineering[First Shift],2016,12,3,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1
"Government College of Engineering, Jalgaon",Computer Engineering[First Shift],2017,16,5,2,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1
"Government College of Engineering, Jalgaon",Computer Engineering[First Shift],2018,12,3,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0,1,1
"Government College of Engineering, Jalgaon",Electrical Engineering[First Shift],2015,17,5,1,2,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1
"Government College of Engineering, Jalgaon",Electrical Engineering[First Shift],2016,36,11,5,4,2,3,2,2,1,1,0,1,0,1,0,1,0,1,1
"Government College of Engineering, Jalgaon",Electrical Engineering[First Shift],2017,27,8,4,3,2,2,1,1,1,0,0,1,0,1,0,1,0,0,1
"Government College of Engineering, Jalgaon",Electrical Engineering[First Shift],2018,27,9,3,3,2,3,1,1,0,0,1,1,0,1,0,0,0,1,1
"Government College of Engineering, Jalgaon",Electronics and Telecommunication Engg[First Shift],2015,12,4,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
"Government College of Engineering, Jalgaon",Electronics and Telecommunication Engg[First Shift],2016,12,4,1,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
"Government College of Engineering, Jalgaon",Electronics and Telecommunication Engg[First Shift],2017,12,4,1,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1
